Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,2e-08,,,
Horizontal Delay,0,,,
Sample Interval,4e-10,,,
Record Length,1000,,,
Gating,0.1% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,1,0.2,0.2,0.2
Vertical Position,2.92,1.1,-0.76,-2.4
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-2.000e-07,-0.04,0.012,-0.008,0.008
-1.996e-07,0,0.004,0.008,0
-1.992e-07,-0.04,0.004,0.016,0
-1.988e-07,0,-0.004,0,0.008
-1.984e-07,0,-0.004,0,0.008
-1.980e-07,0,0.004,0.008,0
-1.976e-07,-0.04,0.012,0.008,0.008
-1.972e-07,0,0.012,0.016,0.008
-1.968e-07,0,0.012,0.016,0.008
-1.964e-07,0,-0.004,0.008,0
-1.960e-07,0,-0.004,0,0
-1.956e-07,0,-0.012,0,-0.008
-1.952e-07,-0.04,0.004,0,0
-1.948e-07,-0.04,-0.004,0.008,0
-1.944e-07,-0.04,-0.012,0.008,0.016
-1.940e-07,-0.04,-0.012,0.008,0.016
-1.936e-07,-0.04,-0.004,0,0.008
-1.932e-07,-0.04,-0.004,0,0.008
-1.928e-07,0,0.004,-0.008,-0.008
-1.924e-07,-0.04,-0.004,-0.008,0
-1.920e-07,-0.04,-0.004,0,0
-1.916e-07,-0.04,-0.004,0.008,0
-1.912e-07,-0.04,-0.012,0.008,-0.008
-1.908e-07,-0.04,0.004,0,0
-1.904e-07,-0.04,0.004,0,0.008
-1.900e-07,-0.04,0.004,0.008,0.016
-1.896e-07,-0.04,-0.004,0.016,0.016
-1.892e-07,-0.08,-0.012,0.024,0.008
-1.888e-07,0,-0.012,0.024,0
-1.884e-07,-0.04,-0.004,0.024,0.008
-1.880e-07,-0.08,0.004,0.016,0
-1.876e-07,0,0.004,0.016,-0.008
-1.872e-07,0,0.012,0.016,0
-1.868e-07,0,-0.004,0.016,0.008
-1.864e-07,-0.04,-0.004,0.008,0.024
-1.860e-07,0,0.004,0.008,0.016
-1.856e-07,-0.04,0.004,0.008,0.008
-1.852e-07,-0.04,-0.004,0.008,0.008
-1.848e-07,-0.04,0.004,0.008,0.016
-1.844e-07,0,0.004,0,0.008
-1.840e-07,-0.04,0.012,-0.008,0.008
-1.836e-07,0,0.004,-0.008,0
-1.832e-07,0,-0.012,-0.016,0
-1.828e-07,-0.04,-0.012,-0.016,0
-1.824e-07,-0.08,-0.012,0.008,0.008
-1.820e-07,0,0.004,0,0.016
-1.816e-07,0,-0.004,-0.008,0.016
-1.812e-07,0,0.004,-0.008,0.008
-1.808e-07,-0.04,0.004,-0.008,0.008
-1.804e-07,-0.04,-0.004,0.008,0
-1.800e-07,-0.04,-0.004,0.016,0
-1.796e-07,0,-0.004,0.016,0.008
-1.792e-07,-0.04,-0.012,0.016,0.008
-1.788e-07,-0.04,0.004,0.016,0.016
-1.784e-07,-0.04,0.004,0.016,0.016
-1.780e-07,-0.04,0.004,0.016,0
-1.776e-07,-0.04,0.004,0.008,-0.008
